res_type
aws_waf_ipset
aws_glue_crawler
aws_glue_catalog_table
aws_organizations_policy
aws_organizations_policy_attachment
aws_api_gateway_authorizer
aws_emr_cluster
aws_api_gateway_method_response
aws_wafregional_rule_group
aws_waf_rule
aws_elasticsearch_domain
aws_waf_sql_injection_match_set
aws_wafregional_byte_match_set
aws_wafregional_web_acl
aws_wafregional_geo_match_set
aws_wafregional_regex_match_set
aws_wafregional_xss_match_set
aws_api_gateway_integration_response
aws_kinesis_stream
aws_emr_security_configuration
aws_glue_catalog_database
aws_waf_rule_group
aws_sns_topic
aws_media_store_container
aws_wafregional_ipset
aws_sns_topic_subscription
aws_db_event_subscription
aws_acm_certificate
aws_api_gateway_vpc_link
aws_waf_regex_match_set
aws_waf_web_acl
aws_customer_gateway
aws_wafregional_rate_based_rule
aws_organizations_account
aws_wafregional_size_constraint_set
aws_vpc_peering_connection
aws_ssm_parameter
aws_waf_xss_match_set
aws_wafregional_web_acl_association
aws_wafregional_rule
aws_waf_rate_based_rule
aws_waf_geo_match_set
aws_api_gateway_integration
aws_wafregional_sql_injection_match_set
aws_vpn_gateway
aws_wafregional_regex_pattern_set
aws_lb_target_group_attachment
aws_vpn_connection
aws_waf_byte_match_set
aws_qldb_ledger
aws_waf_size_constraint_set
aws_api_gateway_documentation_part
aws_datapipeline_pipeline
aws_iot_topic_rule
aws_waf_regex_pattern_set
aws_api_gateway_usage_plan
