res_type
azurerm_virtual_network_gateway_connection
azurerm_vpn_gateway
azurerm_image
azurerm_bastion_host
azurerm_virtual_hub
azurerm_data_factory
azurerm_virtual_network_gateway
azurerm_mariadb_firewall_rule
azurerm_express_route_gateway
azurerm_security_center_contact
azurerm_web_application_firewall_policy
azurerm_point_to_site_vpn_gateway
azurerm_security_center_subscription_pricing
azurerm_mariadb_virtual_network_rule
azurerm_postgresql_virtual_network_rule
azurerm_monitor_autoscale_setting
azurerm_frontdoor
azurerm_express_route_circuit
azurerm_resource_group
